data,lançamento,valor
2026-02-12,CHANGE.ORG BRASIL,20
2026-02-11,MERCADOLIVRE*MERCADOL,49.9
2026-02-11,Uber UBER *TRIP HELP.U,10.46
2026-02-07,MERCADO*MERCADOLIVRE,48.4
2026-02-07,MERCADO*MERCADOLIVRE,126
2026-02-06,Uber UBER *TRIP HELP.U,14.94
2026-02-05,JE MAUA*APP GRUPO MAD,46
2026-01-29,ITAUSHOP,4.9
2026-01-28,Uber UBER *TRIP HELP.U,10
2026-01-28,IOF COMPRA INTERNACIONA,1.95
2026-01-28,DL     *Uber*Rides,94.68
2026-01-27,PAYPAL *TRAE,55.8
2026-01-27,Google One,9.99
2026-01-20,Uber UBER *TRIP HELP.U,11.26
2026-01-20,MERCADO*MERCADOLIVRE,30.7
2026-01-20,PAGAMENTO EFETUADO,-129.55
2026-01-17,MERCADO*SHOPBORGES,59.9
