data      , lançamento             , valor
2026-02-06, Google YouTubePremium  , 53.9
2026-02-01, APPLE.COM/BILL         , 5.9
2026-01-22, CARRETAO               , 80.9
2026-01-22, TOKIO MARINE*AUTO10D12 , 234.81
2026-01-21, ANUIDADE DIFERENC 05/12, 28.25
2026-01-21, DESCONTO ANUIDADE 05/12, -56.5
2026-01-21, DESCONTO ANUIDADE 05/12, -28.25
2026-01-21, ANUIDADE DIFERENC 05/12, 56.5
2026-01-21, CREDITO DE PAGAMENTO   , -0.01
2026-01-17, MC DENTES CLINICA 01/06, 230
2026-01-13, Google One             , 96.9
2025-05-18, MERCADOLIVRE*LACAS09/09, 43.35
2024-09-27, OSSEL             17/18, 259.18
